"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",114,7,14
"""Adults with Only Other Income""",118,20,15
"""Adults with Both Earned and Other Income""",16,1,4
"""Adults with No Income""",146,17,22
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",18,0,4
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,221,0
"""Number of Adult Stayers without Required Annual Assessment""",0,87,0
"""Total Adults""",412,353,59
"""1 or More Source of Income""",262,30,34
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,45,0
