dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,7,all_persons,2015-12-01,2015-12-31,Q14b,without_children,2
Yes,7,all_persons,2015-12-01,2015-12-31,Q14b,with_children_and_adults,5
Yes,7,all_persons,2015-12-01,2015-12-31,Q14b,with_only_children,0
Yes,7,all_persons,2015-12-01,2015-12-31,Q14b,unknown_household_type,0
No,38,all_persons,2015-12-01,2015-12-31,Q14b,without_children,25
No,38,all_persons,2015-12-01,2015-12-31,Q14b,with_children_and_adults,13
No,38,all_persons,2015-12-01,2015-12-31,Q14b,with_only_children,0
No,38,all_persons,2015-12-01,2015-12-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-12-01,2015-12-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-12-01,2015-12-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-12-01,2015-12-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-12-01,2015-12-31,Q14b,unknown_household_type,0
Data Not Collected,14,all_persons,2015-12-01,2015-12-31,Q14b,without_children,9
Data Not Collected,14,all_persons,2015-12-01,2015-12-31,Q14b,with_children_and_adults,5
Data Not Collected,14,all_persons,2015-12-01,2015-12-31,Q14b,with_only_children,0
Data Not Collected,14,all_persons,2015-12-01,2015-12-31,Q14b,unknown_household_type,0
