number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,132
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,3
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,44
Adults with Only Other Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,98
Adults with Only Other Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,22
Adults with Only Other Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,23
Adults with Both Earned and Other Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,21
Adults with Both Earned and Other Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,8
Adults with No Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,187
Adults with No Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,7
Adults with No Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,41
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,8
Adults with Missing Income Information,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,233
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,65
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,446
Total Adults,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,330
Total Adults,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,116
1 or More Source of Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,269
1 or More Source of Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,26
1 or More Source of Income,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,79
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_annual_assessment_stayers,32
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-12-01,2015-12-31,Q18,number_of_adults_at_exit_leavers,0
