health_insurance,population,start_date,end_date,question,status,count
MEDICAID,all_persons,2015-12-01,2015-12-31,Q21,at_start,252
MEDICAID,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,24
MEDICAID,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,74
MEDICARE,all_persons,2015-12-01,2015-12-31,Q21,at_start,46
MEDICARE,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,10
MEDICARE,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,4
State Children's Health Insurance Program,all_persons,2015-12-01,2015-12-31,Q21,at_start,8
State Children's Health Insurance Program,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,0
State Children's Health Insurance Program,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,0
Veteran's Administration (VA) Medical Services,all_persons,2015-12-01,2015-12-31,Q21,at_start,5
Veteran's Administration (VA) Medical Services,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,0
Veteran's Administration (VA) Medical Services,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,3
Employer - Provided Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_start,28
Employer - Provided Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,0
Employer - Provided Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,9
Health Insurance obtained through COBRA,all_persons,2015-12-01,2015-12-31,Q21,at_start,0
Health Insurance obtained through COBRA,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,0
Health Insurance obtained through COBRA,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,0
Private Pay Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_start,30
Private Pay Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,4
Private Pay Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,4
State Health Insurance for Adults,all_persons,2015-12-01,2015-12-31,Q21,at_start,7
State Health Insurance for Adults,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,1
State Health Insurance for Adults,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,2
Indian Health Services Program,all_persons,2015-12-01,2015-12-31,Q21,at_start,1
Indian Health Services Program,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,0
Indian Health Services Program,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,0
Other,all_persons,2015-12-01,2015-12-31,Q21,at_start,1
Other,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,0
Other,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,0
No Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_start,267
No Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,5
No Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,82
Client Doesn't Know/Client Refused,all_persons,2015-12-01,2015-12-31,Q21,at_start,0
Client Doesn't Know/Client Refused,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,0
Data Not Collected,all_persons,2015-12-01,2015-12-31,Q21,at_start,13
Data Not Collected,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,70
Data Not Collected,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2015-12-01,2015-12-31,Q21,at_start,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,338
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,0
1 Source of Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_start,302
1 Source of Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,23
1 Source of Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,88
More than 1 Source of Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_start,37
More than 1 Source of Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_annual_assessment_for_stayers,8
More than 1 Source of Health Insurance,all_persons,2015-12-01,2015-12-31,Q21,at_exit_for_leavers,4
