income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,1,6,7,0.14,4,10,14,0.29,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Supplemental Security Income (SSI),3,1,4,0.75,3,0,3,1.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,3,0,3,1.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,1,0,1,1.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,3,0,3,1.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Retirement Income from Social Security,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Child Support,0,0,0,0.0,3,1,4,0.75,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Other source,1,0,1,1.0,0,1,1,0.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
No Sources,9,10,19,0.47,0,1,1,0.0,0,0,0,0.0,adults,2017-10-01,2017-10-31,Q19b
Unduplicated Total Adults,15,19,34,NA,10,12,22,NA,0,0,0,NA,adults,2017-10-01,2017-10-31,Q19b
