count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_entry,222
No Sources,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,21
No Sources,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_exit_for_leavers,39
1 + Source(s),all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_entry,106
1 + Source(s),all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,22
1 + Source(s),all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_exit_for_leavers,21
Client Doesn't Know/Client Refused,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_entry,28
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,251
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-10-01,2017-10-31,Q20b,benefit_at_exit_for_leavers,2
