count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,187,52,92,stayers,2017-10-01,2017-10-31,Q13c2,without_children,35
None,187,52,92,stayers,2017-10-01,2017-10-31,Q13c2,with_only_children,8
None,187,52,92,stayers,2017-10-01,2017-10-31,Q13c2,unknown_household_type,0
1 Condition,118,15,16,stayers,2017-10-01,2017-10-31,Q13c2,without_children,87
1 Condition,118,15,16,stayers,2017-10-01,2017-10-31,Q13c2,with_only_children,0
1 Condition,118,15,16,stayers,2017-10-01,2017-10-31,Q13c2,unknown_household_type,0
2 Conditions,62,9,4,stayers,2017-10-01,2017-10-31,Q13c2,without_children,49
2 Conditions,62,9,4,stayers,2017-10-01,2017-10-31,Q13c2,with_only_children,0
2 Conditions,62,9,4,stayers,2017-10-01,2017-10-31,Q13c2,unknown_household_type,0
3+ Conditions,39,2,0,stayers,2017-10-01,2017-10-31,Q13c2,without_children,37
3+ Conditions,39,2,0,stayers,2017-10-01,2017-10-31,Q13c2,with_only_children,0
3+ Conditions,39,2,0,stayers,2017-10-01,2017-10-31,Q13c2,unknown_household_type,0
Condition Unknown,1,0,1,stayers,2017-10-01,2017-10-31,Q13c2,without_children,0
Condition Unknown,1,0,1,stayers,2017-10-01,2017-10-31,Q13c2,with_only_children,0
Condition Unknown,1,0,1,stayers,2017-10-01,2017-10-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2017-10-01,2017-10-31,Q13c2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2017-10-01,2017-10-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2017-10-01,2017-10-31,Q13c2,unknown_household_type,0
Data Not Collected,14,2,2,stayers,2017-10-01,2017-10-31,Q13c2,without_children,5
Data Not Collected,14,2,2,stayers,2017-10-01,2017-10-31,Q13c2,with_only_children,2
Data Not Collected,14,2,2,stayers,2017-10-01,2017-10-31,Q13c2,unknown_household_type,3
