time_prior_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,62,all_persons,2017-03-01,2017-03-31,Q22e,without_children,49
7 days or less,62,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,12
7 days or less,62,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,1
7 days or less,62,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
8 to 14 days,2,all_persons,2017-03-01,2017-03-31,Q22e,without_children,2
8 to 14 days,2,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,0
8 to 14 days,2,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
8 to 14 days,2,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
15 to 21 days,13,all_persons,2017-03-01,2017-03-31,Q22e,without_children,3
15 to 21 days,13,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,10
15 to 21 days,13,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
15 to 21 days,13,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
22 to 30 days,3,all_persons,2017-03-01,2017-03-31,Q22e,without_children,1
22 to 30 days,3,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,2
22 to 30 days,3,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
22 to 30 days,3,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
31 to 60 days,21,all_persons,2017-03-01,2017-03-31,Q22e,without_children,10
31 to 60 days,21,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,11
31 to 60 days,21,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
31 to 60 days,21,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
61 to 180 days,64,all_persons,2017-03-01,2017-03-31,Q22e,without_children,26
61 to 180 days,64,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,38
61 to 180 days,64,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
61 to 180 days,64,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
181 to 365 days,19,all_persons,2017-03-01,2017-03-31,Q22e,without_children,16
181 to 365 days,19,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,3
181 to 365 days,19,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
181 to 365 days,19,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
366-730 days (1-2 years),33,all_persons,2017-03-01,2017-03-31,Q22e,without_children,30
366-730 days (1-2 years),33,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,3
366-730 days (1-2 years),33,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
366-730 days (1-2 years),33,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
731 days or more,38,all_persons,2017-03-01,2017-03-31,Q22e,without_children,38
731 days or more,38,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,0
731 days or more,38,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
731 days or more,38,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
Total (persons moved into housing),255,all_persons,2017-03-01,2017-03-31,Q22e,without_children,175
Total (persons moved into housing),255,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,79
Total (persons moved into housing),255,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,1
Total (persons moved into housing),255,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
Not yet moved into housing,16,all_persons,2017-03-01,2017-03-31,Q22e,without_children,5
Not yet moved into housing,16,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,11
Not yet moved into housing,16,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
Not yet moved into housing,16,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
Data not collected,19,all_persons,2017-03-01,2017-03-31,Q22e,without_children,17
Data not collected,19,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,2
Data not collected,19,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,0
Data not collected,19,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
Total persons,290,all_persons,2017-03-01,2017-03-31,Q22e,without_children,197
Total persons,290,all_persons,2017-03-01,2017-03-31,Q22e,with_children_and_adults,92
Total persons,290,all_persons,2017-03-01,2017-03-31,Q22e,with_only_children,1
Total persons,290,all_persons,2017-03-01,2017-03-31,Q22e,unknown_household_type,0
