income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,12,13,25,0.48,0,14,14,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Supplemental Security Income (SSI),16,1,17,0.94,1,1,2,0.5,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Social Security Disability Insurance (SSDI),13,0,13,1.0,1,0,1,1.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,0,2,2,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Pension or retirement income from a former job,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Child Support,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Other source,1,1,2,0.5,1,0,1,1.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
No Sources,16,22,38,0.42,0,6,6,0.0,0,0,0,0.0,adults,2017-03-01,2017-03-31,Q19b
Unduplicated Total Adults,48,36,84,NA,3,22,25,NA,0,0,0,NA,adults,2017-03-01,2017-03-31,Q19b
