count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_entry,274
No Sources,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,15
No Sources,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_exit_for_leavers,73
1 + Source(s),all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_entry,137
1 + Source(s),all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,19
1 + Source(s),all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_exit_for_leavers,40
Client Doesn't Know/Client Refused,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_entry,2
Client Doesn't Know/Client Refused,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_exit_for_leavers,2
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_entry,26
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,285
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-03-01,2017-03-31,Q20b,benefit_at_exit_for_leavers,5
