income_range,population,start_date,end_date,question,status,count
No Income,adults,2017-03-01,2017-03-31,Q16,income_at_start,157
No Income,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,11
No Income,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,46
$1 -  $150,adults,2017-03-01,2017-03-31,Q16,income_at_start,2
$1 -  $150,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2017-03-01,2017-03-31,Q16,income_at_start,2
$151 - $250,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,0
$251 - $500,adults,2017-03-01,2017-03-31,Q16,income_at_start,15
$251 - $500,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,1
$251 - $500,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,2
$501 - $1000,adults,2017-03-01,2017-03-31,Q16,income_at_start,93
$501 - $1000,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,8
$501 - $1000,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,22
$1001 - $1500,adults,2017-03-01,2017-03-31,Q16,income_at_start,66
$1001 - $1500,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,10
$1001 - $1500,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,19
$1501 - $2000,adults,2017-03-01,2017-03-31,Q16,income_at_start,29
$1501 - $2000,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,2
$1501 - $2000,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,9
$2001+,adults,2017-03-01,2017-03-31,Q16,income_at_start,32
$2001+,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,1
$2001+,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,11
Client Doesn't Know/Client Refused,adults,2017-03-01,2017-03-31,Q16,income_at_start,1
Client Doesn't Know/Client Refused,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,1
Data Not Collected,adults,2017-03-01,2017-03-31,Q16,income_at_start,42
Data Not Collected,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,5
Data Not Collected,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,10
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2017-03-01,2017-03-31,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,194
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2017-03-01,2017-03-31,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,87
Number of Adult Stayers without Required Annual Assessment,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2017-03-01,2017-03-31,Q16,income_at_start,439
Total Adults,adults,2017-03-01,2017-03-31,Q16,income_at_latest_annual_assessment_for_stayers,319
Total Adults,adults,2017-03-01,2017-03-31,Q16,income_at_exit_for_leavers,120
