count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_entry,249
No Sources,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,4
No Sources,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_exit_for_leavers,74
1 + Source(s),all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_entry,147
1 + Source(s),all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,7
1 + Source(s),all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_exit_for_leavers,57
Client Doesn't Know/Client Refused,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_entry,43
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,289
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_exit_for_leavers,8
