ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,27,all_households,2015-03-01,2015-03-31,Q26a,without_children,27
Chronically Homeless ,27,all_households,2015-03-01,2015-03-31,Q26a,with_children_and_adults,0
Chronically Homeless ,27,all_households,2015-03-01,2015-03-31,Q26a,with_only_children,0
Chronically Homeless ,27,all_households,2015-03-01,2015-03-31,Q26a,unknown_household_type,0
Not Chronically Homeless,203,all_households,2015-03-01,2015-03-31,Q26a,without_children,161
Not Chronically Homeless,203,all_households,2015-03-01,2015-03-31,Q26a,with_children_and_adults,42
Not Chronically Homeless,203,all_households,2015-03-01,2015-03-31,Q26a,with_only_children,0
Not Chronically Homeless,203,all_households,2015-03-01,2015-03-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,8,all_households,2015-03-01,2015-03-31,Q26a,without_children,8
Client Doesn't Know/Client Refused,8,all_households,2015-03-01,2015-03-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,8,all_households,2015-03-01,2015-03-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,8,all_households,2015-03-01,2015-03-31,Q26a,unknown_household_type,0
Data Not Collected,116,all_households,2015-03-01,2015-03-31,Q26a,without_children,101
Data Not Collected,116,all_households,2015-03-01,2015-03-31,Q26a,with_children_and_adults,15
Data Not Collected,116,all_households,2015-03-01,2015-03-31,Q26a,with_only_children,0
Data Not Collected,116,all_households,2015-03-01,2015-03-31,Q26a,unknown_household_type,0
