number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,89
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,1
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,27
Adults with Only Other Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,104
Adults with Only Other Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,8
Adults with Only Other Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,24
Adults with Both Earned and Other Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,15
Adults with Both Earned and Other Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,220
Adults with No Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with No Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,76
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,10
Adults with Missing Income Information,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,5
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,205
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,83
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,440
Total Adults,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,300
Total Adults,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,140
1 or More Source of Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,229
1 or More Source of Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,10
1 or More Source of Income,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,64
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-03-01,2015-03-31,Q18,number_of_adults_at_exit_leavers,0
