income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,1,15,16,0.06,3,15,18,0.17,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Supplemental Security Income (SSI),6,2,8,0.75,0,1,1,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Social Security Disability Insurance (SSDI),8,1,9,0.89,0,0,0,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,2,2,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Retirement Income from Social Security,0,5,5,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Child Support,0,0,0,0.0,2,4,6,0.33,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Other source,0,0,0,0.0,1,2,3,0.33,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
No Sources,17,30,47,0.36,2,15,17,0.12,0,0,0,0.0,adults,2015-03-01,2015-03-31,Q19b
Unduplicated Total Adults,32,54,86,NA,6,31,37,NA,0,0,0,NA,adults,2015-03-01,2015-03-31,Q19b
