report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,572,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adults (age 18 or over),440,all_persons,2015-03-01,2015-03-31,Q5a
Number of Children (under age 18),131,all_persons,2015-03-01,2015-03-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-03-01,2015-03-31,Q5a
Number of Leavers,199,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult Leavers,140,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult and Head of Household Leavers,140,all_persons,2015-03-01,2015-03-31,Q5a
Number of Stayers,373,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult Stayers,300,all_persons,2015-03-01,2015-03-31,Q5a
Number of Veterans,22,all_persons,2015-03-01,2015-03-31,Q5a
Number of Chronically Homeless Persons,27,all_persons,2015-03-01,2015-03-31,Q5a
Number of Youth Under Age 25,34,all_persons,2015-03-01,2015-03-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2015-03-01,2015-03-31,Q5a
Number of Adult Heads of Household,354,all_persons,2015-03-01,2015-03-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2015-03-01,2015-03-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,95,all_persons,2015-03-01,2015-03-31,Q5a
