"""Total Number of Persons Served""",1094
"""Number of Adults (age 18 or over)""",840
"""Number of Children (under age 18)""",245
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",268
"""Number of Adult Leavers""",248
"""Number of Adult and Head of Household Leavers""",248
"""Number of Stayers""",826
"""Number of Adult Stayers""",592
"""Number of Veterans""",52
"""Number of Chronically Homeless Persons""",160
"""Number of Youth Under Age 25""",67
"""Number of Parenting Youth Under Age 25 with Children""",12
"""Number of Adult Heads of Household""",693
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",234
