, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",9,15,24,0.38,0,4,4,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",22,1,23,0.96,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",24,0,24,1.0,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,1,3,0.67,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,1,2,0.5,2,0,2,1.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Other source""",1,1,2,0.5,0,1,1,0.0,0,0,0,0.0
"""No Sources""",35,42,77,0.45,0,3,3,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",85,60,145,,3,7,10,,0,0,0,
