, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",147,123,24,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",185,173,12,0,0
"""Safe Haven""",3,2,1,0,0
"""Host Home""",2,2,0,0,0
"""Subtotal""",338,301,37,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",8,8,0,0,0
"""Substance abuse treatment facility or detox center""",5,5,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",10,10,0,0,0
"""Jail, prison or juvenile detention facility""",12,12,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",3,3,0,0,0
"""Subtotal""",38,38,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,6,0,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",177,134,41,0,2
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,6,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",96,70,25,0,1
"""Staying or living in a friend''s room, apartment or house""",81,66,15,0,0
"""Staying or living in a family member''s room, apartment or house""",77,51,26,0,0
"""Client Doesn''t Know/Client Refused""",1,1,0,0,0
"""Data not collected""",17,11,6,0,0
"""Subtotal""",464,347,114,0,3
"""Total""",840,686,151,0,3
