"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",225,6,40
"""Adults with Only Other Income""",267,34,33
"""Adults with Both Earned and Other Income""",41,3,11
"""Adults with No Income""",874,11,126
"""Adults with Client Doesn't Know/Client Refused Income Information""",4,0,0
"""Adults with Missing Income Information""",68,0,9
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,783,0
"""Number of Adult Stayers without Required Annual Assessment""",0,428,0
"""Total Adults""",1484,1265,219
"""1 or More Source of Income""",600,44,92
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,54,0
