, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",270,9,52
"""Unemployment Insurance""",3,0,0
"""Supplemental Security Income (SSI)""",166,21,25
"""Social Security Disability Insurance (SSDI)""",108,12,8
"""VA Service - Connected Disability Compensation""",10,1,2
"""VA Non-Service Connected Disability Pension""",6,3,1
"""Private Disability Insurance""",1,0,1
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",24,0,5
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",24,5,4
"""Pension or retirement income from a former job""",7,0,1
"""Child Support""",16,0,4
"""Alimony and other spousal support""",0,0,0
"""Other Source""",16,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,54,0
