, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",173,120,53,0,0
"""8 to 14 days""",27,25,2,0,0
"""15 to 21 days""",18,18,0,0,0
"""22 to 30 days""",14,12,2,0,0
"""31 to 60 days""",28,19,9,0,0
"""61 to 180 days""",107,87,20,0,0
"""181 to 365 days""",66,59,6,1,0
"""366-730 days (1-2 years)""",52,52,0,0,0
"""731 days or more""",115,102,11,2,0
"""Total (persons moved into housing)""",600,494,103,3,0
"""Not yet moved into housing""",44,20,24,0,0
"""Data not collected""",87,41,37,7,2
"""Total persons""",731,555,164,10,2
