"""Total Number of Persons Served""",1989
"""Number of Adults (age 18 or over)""",1484
"""Number of Children (under age 18)""",490
"""Number of Persons with Unknown Age""",15
"""Number of Leavers""",324
"""Number of Adult Leavers""",219
"""Number of Adult and Head of Household Leavers""",220
"""Number of Stayers""",1665
"""Number of Adult Stayers""",1265
"""Number of Veterans""",88
"""Number of Chronically Homeless Persons""",215
"""Number of Youth Under Age 25""",101
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",1204
"""Number of Child and Unknown-Age Heads of Household""",5
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",482
