, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",203,172,31,0,0
"""Transitional housing for homeless persons (including homeless youth)""",4,4,0,0,0
"""Place not meant for human habitation""",321,303,18,0,0
"""Safe Haven""",8,6,2,0,0
"""Host Home""",1,0,1,0,0
"""Subtotal""",537,485,52,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",8,8,0,0,0
"""Substance abuse treatment facility or detox center""",17,17,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",33,33,0,0,0
"""Jail, prison or juvenile detention facility""",37,37,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",4,4,0,0,0
"""Subtotal""",99,99,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,9,1,0,0
"""Owned by client, with ongoing housing subsidy""",3,2,1,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",5,0,5,0,0
"""Rental by client in a public housing unit""",5,5,0,0,0
"""Rental by client, no ongoing housing subsidy""",262,166,93,0,3
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",2,2,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",16,10,6,0,0
"""Hotel or motel paid for without emergency shelter voucher""",174,123,49,0,2
"""Staying or living in a friend''s room, apartment or house""",142,112,29,0,1
"""Staying or living in a family member''s room, apartment or house""",144,98,46,0,0
"""Client Doesn''t Know/Client Refused""",23,23,0,0,0
"""Data not collected""",64,30,32,0,2
"""Subtotal""",853,582,263,0,8
"""Total""",1489,1166,315,0,8
