length_participation,total,population,start_date,end_date,question,status,count
30 days or less,31,youth,2021-09-01,2021-09-30,Q27e,leavers,14
30 days or less,31,youth,2021-09-01,2021-09-30,Q27e,stayers,17
31 to 60 days,9,youth,2021-09-01,2021-09-30,Q27e,leavers,0
31 to 60 days,9,youth,2021-09-01,2021-09-30,Q27e,stayers,9
61 to 90 days,2,youth,2021-09-01,2021-09-30,Q27e,leavers,0
61 to 90 days,2,youth,2021-09-01,2021-09-30,Q27e,stayers,2
91 to 180 days,7,youth,2021-09-01,2021-09-30,Q27e,leavers,0
91 to 180 days,7,youth,2021-09-01,2021-09-30,Q27e,stayers,7
181 to 365 days,9,youth,2021-09-01,2021-09-30,Q27e,leavers,1
181 to 365 days,9,youth,2021-09-01,2021-09-30,Q27e,stayers,8
366 to 730 Days (1-2 Yrs),8,youth,2021-09-01,2021-09-30,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),8,youth,2021-09-01,2021-09-30,Q27e,stayers,8
"731 to 1,095 Days (2-3 Yrs)",8,youth,2021-09-01,2021-09-30,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",8,youth,2021-09-01,2021-09-30,Q27e,stayers,8
"1,096 to 1,460 Days (3-4 Yrs)",3,youth,2021-09-01,2021-09-30,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",3,youth,2021-09-01,2021-09-30,Q27e,stayers,3
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2021-09-01,2021-09-30,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2021-09-01,2021-09-30,Q27e,stayers,2
"More than 1,825 Days (>5 Yrs)",4,youth,2021-09-01,2021-09-30,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",4,youth,2021-09-01,2021-09-30,Q27e,stayers,4
Data Not Collected,0,youth,2021-09-01,2021-09-30,Q27e,leavers,0
Data Not Collected,0,youth,2021-09-01,2021-09-30,Q27e,stayers,0
