age_group,total,population,start_date,end_date,question,household_type,count
18 - 24,5,veterans,2021-09-01,2021-09-30,Q25d,without_children,4
18 - 24,5,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,1
18 - 24,5,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
25 - 34,12,veterans,2021-09-01,2021-09-30,Q25d,without_children,9
25 - 34,12,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,3
25 - 34,12,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
35 - 44,8,veterans,2021-09-01,2021-09-30,Q25d,without_children,7
35 - 44,8,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,1
35 - 44,8,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
45 - 54,10,veterans,2021-09-01,2021-09-30,Q25d,without_children,10
45 - 54,10,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,0
45 - 54,10,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
55 - 61,19,veterans,2021-09-01,2021-09-30,Q25d,without_children,19
55 - 61,19,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,0
55 - 61,19,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
62 +,22,veterans,2021-09-01,2021-09-30,Q25d,without_children,22
62 +,22,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,0
62 +,22,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2021-09-01,2021-09-30,Q25d,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
Data Not Collected,0,veterans,2021-09-01,2021-09-30,Q25d,without_children,0
Data Not Collected,0,veterans,2021-09-01,2021-09-30,Q25d,with_children_and_adults,0
Data Not Collected,0,veterans,2021-09-01,2021-09-30,Q25d,unknown_household_type,0
