number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,192
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,33
Adults with Only Other Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,210
Adults with Only Other Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,39
Adults with Only Other Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,30
Adults with Both Earned and Other Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,29
Adults with Both Earned and Other Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,629
Adults with No Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with No Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,141
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,27
Adults with Missing Income Information,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,3
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,458
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,365
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,1093
Total Adults,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,881
Total Adults,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,212
1 or More Source of Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,489
1 or More Source of Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,47
1 or More Source of Income,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,77
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_annual_assessment_stayers,58
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-09-01,2021-09-30,Q18,number_of_adults_at_exit_leavers,0
