income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,13,18,31,0.42,2,4,6,0.33,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Supplemental Security Income (SSI),17,1,18,0.94,2,0,2,1.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Social Security Disability Insurance (SSDI),14,2,16,0.88,0,0,0,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Child Support,0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Other source,2,3,5,0.4,0,0,0,0.0,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
No Sources,18,30,48,0.38,1,16,17,0.06,0,0,0,0.0,adults,2021-09-01,2021-09-30,Q19b
Unduplicated Total Adults,58,53,111,NA,4,21,25,NA,0,0,0,NA,adults,2021-09-01,2021-09-30,Q19b
