income_range,population,start_date,end_date,question,status,count
No Income,adults,2021-09-01,2021-09-30,Q16,income_at_start,454
No Income,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,9
No Income,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,86
$1 -  $150,adults,2021-09-01,2021-09-30,Q16,income_at_start,3
$1 -  $150,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,0
$151 - $250,adults,2021-09-01,2021-09-30,Q16,income_at_start,7
$151 - $250,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,0
$251 - $500,adults,2021-09-01,2021-09-30,Q16,income_at_start,19
$251 - $500,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,3
$251 - $500,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,2
$501 - $1000,adults,2021-09-01,2021-09-30,Q16,income_at_start,143
$501 - $1000,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,18
$501 - $1000,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,23
$1001 - $1500,adults,2021-09-01,2021-09-30,Q16,income_at_start,91
$1001 - $1500,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,15
$1001 - $1500,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,12
$1501 - $2000,adults,2021-09-01,2021-09-30,Q16,income_at_start,84
$1501 - $2000,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,6
$1501 - $2000,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,12
$2001+,adults,2021-09-01,2021-09-30,Q16,income_at_start,84
$2001+,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,4
$2001+,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,19
Client Doesn't Know/Client Refused,adults,2021-09-01,2021-09-30,Q16,income_at_start,2
Client Doesn't Know/Client Refused,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2021-09-01,2021-09-30,Q16,income_at_start,206
Data Not Collected,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,3
Data Not Collected,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,58
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2021-09-01,2021-09-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,458
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2021-09-01,2021-09-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,365
Number of Adult Stayers without Required Annual Assessment,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2021-09-01,2021-09-30,Q16,income_at_start,1093
Total Adults,adults,2021-09-01,2021-09-30,Q16,income_at_latest_annual_assessment_for_stayers,881
Total Adults,adults,2021-09-01,2021-09-30,Q16,income_at_exit_for_leavers,212
