report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1425,all_persons,2021-09-01,2021-09-30,Q5a
Number of Adults (age 18 or over),1093,all_persons,2021-09-01,2021-09-30,Q5a
Number of Children (under age 18),322,all_persons,2021-09-01,2021-09-30,Q5a
Number of Persons with Unknown Age,10,all_persons,2021-09-01,2021-09-30,Q5a
Number of Leavers,286,all_persons,2021-09-01,2021-09-30,Q5a
Number of Adult Leavers,212,all_persons,2021-09-01,2021-09-30,Q5a
Number of Adult and Head of Household Leavers,219,all_persons,2021-09-01,2021-09-30,Q5a
Number of Stayers,1139,all_persons,2021-09-01,2021-09-30,Q5a
Number of Adult Stayers,881,all_persons,2021-09-01,2021-09-30,Q5a
Number of Veterans,76,all_persons,2021-09-01,2021-09-30,Q5a
Number of Chronically Homeless Persons,175,all_persons,2021-09-01,2021-09-30,Q5a
Number of Youth Under Age 25,83,all_persons,2021-09-01,2021-09-30,Q5a
Number of Parenting Youth Under Age 25 with Children,12,all_persons,2021-09-01,2021-09-30,Q5a
Number of Adult Heads of Household,886,all_persons,2021-09-01,2021-09-30,Q5a
Number of Child and Unknown-Age Heads of Household,8,all_persons,2021-09-01,2021-09-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,423,all_persons,2021-09-01,2021-09-30,Q5a
