report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1705,all_persons,2022-02-01,2022-02-28,Q5a
Number of Adults (age 18 or over),1319,all_persons,2022-02-01,2022-02-28,Q5a
Number of Children (under age 18),370,all_persons,2022-02-01,2022-02-28,Q5a
Number of Persons with Unknown Age,16,all_persons,2022-02-01,2022-02-28,Q5a
Number of Leavers,202,all_persons,2022-02-01,2022-02-28,Q5a
Number of Adult Leavers,151,all_persons,2022-02-01,2022-02-28,Q5a
Number of Adult and Head of Household Leavers,153,all_persons,2022-02-01,2022-02-28,Q5a
Number of Stayers,1503,all_persons,2022-02-01,2022-02-28,Q5a
Number of Adult Stayers,1168,all_persons,2022-02-01,2022-02-28,Q5a
Number of Veterans,74,all_persons,2022-02-01,2022-02-28,Q5a
Number of Chronically Homeless Persons,230,all_persons,2022-02-01,2022-02-28,Q5a
Number of Youth Under Age 25,97,all_persons,2022-02-01,2022-02-28,Q5a
Number of Parenting Youth Under Age 25 with Children,18,all_persons,2022-02-01,2022-02-28,Q5a
Number of Adult Heads of Household,1075,all_persons,2022-02-01,2022-02-28,Q5a
Number of Child and Unknown-Age Heads of Household,5,all_persons,2022-02-01,2022-02-28,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,459,all_persons,2022-02-01,2022-02-28,Q5a
