length_participation,total,population,start_date,end_date,question,status,count
30 days or less,27,youth,2022-02-01,2022-02-28,Q27e,leavers,10
30 days or less,27,youth,2022-02-01,2022-02-28,Q27e,stayers,17
31 to 60 days,2,youth,2022-02-01,2022-02-28,Q27e,leavers,0
31 to 60 days,2,youth,2022-02-01,2022-02-28,Q27e,stayers,2
61 to 90 days,13,youth,2022-02-01,2022-02-28,Q27e,leavers,1
61 to 90 days,13,youth,2022-02-01,2022-02-28,Q27e,stayers,12
91 to 180 days,18,youth,2022-02-01,2022-02-28,Q27e,leavers,1
91 to 180 days,18,youth,2022-02-01,2022-02-28,Q27e,stayers,17
181 to 365 days,10,youth,2022-02-01,2022-02-28,Q27e,leavers,0
181 to 365 days,10,youth,2022-02-01,2022-02-28,Q27e,stayers,10
366 to 730 Days (1-2 Yrs),8,youth,2022-02-01,2022-02-28,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),8,youth,2022-02-01,2022-02-28,Q27e,stayers,8
"731 to 1,095 Days (2-3 Yrs)",7,youth,2022-02-01,2022-02-28,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",7,youth,2022-02-01,2022-02-28,Q27e,stayers,7
"1,096 to 1,460 Days (3-4 Yrs)",4,youth,2022-02-01,2022-02-28,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",4,youth,2022-02-01,2022-02-28,Q27e,stayers,4
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2022-02-01,2022-02-28,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2022-02-01,2022-02-28,Q27e,stayers,2
"More than 1,825 Days (>5 Yrs)",6,youth,2022-02-01,2022-02-28,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",6,youth,2022-02-01,2022-02-28,Q27e,stayers,6
Data Not Collected,0,youth,2022-02-01,2022-02-28,Q27e,leavers,0
Data Not Collected,0,youth,2022-02-01,2022-02-28,Q27e,stayers,0
