conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,111
Mental Health Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,99
Mental Health Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,12
Alcohol Use Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,26
Alcohol Use Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,24
Alcohol Use Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,2
Drug Use Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,14
Drug Use Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,14
Drug Use Disorder,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,31
Both Alcohol and Drug Use Disorders,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,27
Both Alcohol and Drug Use Disorders,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,4
Chronic Health Condition,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,67
Chronic Health Condition,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,60
Chronic Health Condition,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,7
HIV/AIDS,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,6
HIV/AIDS,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,6
HIV/AIDS,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,0
Development Disability,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,24
Development Disability,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,22
Development Disability,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,3
Physical Disability,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_start,65
Physical Disability,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_latest_assessment_for_stayers,59
Physical Disability,chronically_homeless,2022-02-01,2022-02-28,Q26e,conditions_at_exit_for_leavers,6
