income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,9,12,21,0.43,0,9,9,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Supplemental Security Income (SSI),11,3,14,0.79,0,0,0,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Social Security Disability Insurance (SSDI),10,2,12,0.83,0,1,1,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Retirement Income from Social Security,1,0,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Child Support,0,1,1,0.0,0,1,1,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Other source,2,1,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
No Sources,12,22,34,0.35,1,9,10,0.1,0,0,0,0.0,adults,2022-02-01,2022-02-28,Q19b
Unduplicated Total Adults,38,37,75,NA,1,19,20,NA,0,0,0,NA,adults,2022-02-01,2022-02-28,Q19b
