number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,222
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,8
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,24
Adults with Only Other Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,250
Adults with Only Other Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,36
Adults with Only Other Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,21
Adults with Both Earned and Other Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,32
Adults with Both Earned and Other Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with Both Earned and Other Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,5
Adults with No Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,763
Adults with No Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,14
Adults with No Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,99
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,46
Adults with Missing Income Information,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,709
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,399
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,1319
Total Adults,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,1168
Total Adults,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,151
1 or More Source of Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,563
1 or More Source of Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,47
1 or More Source of Income,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,56
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_annual_assessment_stayers,60
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-02-01,2022-02-28,Q18,number_of_adults_at_exit_leavers,0
