"""Total Number of Persons Served""",566
"""Number of Adults (age 18 or over)""",439
"""Number of Children (under age 18)""",125
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",163
"""Number of Adult Leavers""",120
"""Number of Adult and Head of Household Leavers""",121
"""Number of Stayers""",403
"""Number of Adult Stayers""",319
"""Number of Veterans""",25
"""Number of Chronically Homeless Persons""",67
"""Number of Youth Under Age 25""",20
"""Number of Parenting Youth Under Age 25 with Children""",6
"""Number of Adult Heads of Household""",382
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",125
