, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",112,4,37
"""Unemployment Insurance""",5,0,1
"""Supplemental Security Income (SSI)""",68,15,18
"""Social Security Disability Insurance (SSDI)""",58,8,14
"""VA Service - Connected Disability Compensation""",5,1,1
"""VA Non-Service Connected Disability Pension""",2,0,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",10,0,3
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",7,1,2
"""Pension or retirement income from a former job""",2,0,1
"""Child Support""",8,0,1
"""Alimony and other spousal support""",1,0,0
"""Other Source""",2,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,38,0
