, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",12,13,25,0.48,0,14,14,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",16,1,17,0.94,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",13,0,13,1.0,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,2,2,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Other source""",1,1,2,0.5,1,0,1,1.0,0,0,0,0.0
"""No Sources""",16,22,38,0.42,0,6,6,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",48,36,84,,3,22,25,,0,0,0,
