, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",62,49,12,1,0
"""8 to 14 days""",2,2,0,0,0
"""15 to 21 days""",13,3,10,0,0
"""22 to 30 days""",3,1,2,0,0
"""31 to 60 days""",21,10,11,0,0
"""61 to 180 days""",64,26,38,0,0
"""181 to 365 days""",19,16,3,0,0
"""366-730 days (1-2 years)""",33,30,3,0,0
"""731 days or more""",38,38,0,0,0
"""Total (persons moved into housing)""",255,175,79,1,0
"""Not yet moved into housing""",16,5,11,0,0
"""Data not collected""",19,17,2,0,0
"""Total persons""",290,197,92,1,0
