number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,99
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,2
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,29
Adults with Only Other Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,110
Adults with Only Other Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,9
Adults with Only Other Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,34
Adults with Both Earned and Other Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,8
Adults with Both Earned and Other Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,1
Adults with No Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,189
Adults with No Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with No Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,74
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,12
Adults with Missing Income Information,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,6
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,179
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,82
Number of Adult Stayers without Required Annual Assessment,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,420
Total Adults,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,275
Total Adults,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,145
1 or More Source of Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,237
1 or More Source of Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,12
1 or More Source of Income,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,69
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_annual_assessment_stayers,14
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2015-04-01,2015-04-30,Q18,number_of_adults_at_exit_leavers,0
