report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,516,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adults (age 18 or over),420,all_persons,2015-04-01,2015-04-30,Q5a
Number of Children (under age 18),95,all_persons,2015-04-01,2015-04-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-04-01,2015-04-30,Q5a
Number of Leavers,181,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult Leavers,145,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult and Head of Household Leavers,145,all_persons,2015-04-01,2015-04-30,Q5a
Number of Stayers,335,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult Stayers,275,all_persons,2015-04-01,2015-04-30,Q5a
Number of Veterans,21,all_persons,2015-04-01,2015-04-30,Q5a
Number of Chronically Homeless Persons,25,all_persons,2015-04-01,2015-04-30,Q5a
Number of Youth Under Age 25,25,all_persons,2015-04-01,2015-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,6,all_persons,2015-04-01,2015-04-30,Q5a
Number of Adult Heads of Household,325,all_persons,2015-04-01,2015-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2015-04-01,2015-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,96,all_persons,2015-04-01,2015-04-30,Q5a
