, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",165,111,54,0,0
"""8 to 14 days""",38,16,22,0,0
"""15 to 21 days""",27,19,8,0,0
"""22 to 30 days""",21,17,4,0,0
"""31 to 60 days""",29,23,6,0,0
"""61 to 180 days""",101,73,28,0,0
"""181 to 365 days""",65,47,18,0,0
"""366-730 days (1-2 years)""",54,52,2,0,0
"""731 days or more""",123,108,15,0,0
"""Total (persons moved into housing)""",623,466,157,0,0
"""Not yet moved into housing""",24,24,0,0,0
"""Data not collected""",67,32,29,3,3
"""Total persons""",714,522,186,3,3
