, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",186,155,31,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",304,280,24,0,0
"""Safe Haven""",8,7,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",501,445,56,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",9,9,0,0,0
"""Substance abuse treatment facility or detox center""",11,11,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",31,31,0,0,0
"""Jail, prison or juvenile detention facility""",38,38,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",4,4,0,0,0
"""Subtotal""",93,93,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,3,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,10,0,0,0
"""Owned by client, with ongoing housing subsidy""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,1,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",2,1,1,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",217,149,65,0,3
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,1,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",11,7,4,0,0
"""Hotel or motel paid for without emergency shelter voucher""",158,117,40,0,1
"""Staying or living in a friend''s room, apartment or house""",123,105,18,0,0
"""Staying or living in a family member''s room, apartment or house""",112,72,40,0,0
"""Client Doesn''t Know/Client Refused""",19,17,0,0,2
"""Data not collected""",43,24,17,0,2
"""Subtotal""",705,511,186,0,8
"""Total""",1299,1049,242,0,8
