, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",258,9,46
"""Unemployment Insurance""",5,0,1
"""Supplemental Security Income (SSI)""",141,22,15
"""Social Security Disability Insurance (SSDI)""",115,14,22
"""VA Service - Connected Disability Compensation""",7,1,1
"""VA Non-Service Connected Disability Pension""",4,4,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",16,1,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",27,4,1
"""Pension or retirement income from a former job""",7,1,1
"""Child Support""",13,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",7,1,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,62,0
