, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",9,1,6
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",9,3,1
"""Social Security Disability Insurance (SSDI)""",8,3,1
"""VA Service - Connected Disability Compensation""",7,1,1
"""VA Non-Service Connected Disability Pension""",2,3,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",1,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",4,2,0
"""Pension or retirement income from a former job""",2,1,1
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Veterans with Income Information at Start and Annual Assessment/Exit""",0,13,0
