"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",222,8,40
"""Adults with Only Other Income""",242,39,30
"""Adults with Both Earned and Other Income""",34,1,6
"""Adults with No Income""",746,14,105
"""Adults with Client Doesn't Know/Client Refused Income Information""",3,0,1
"""Adults with Missing Income Information""",42,0,1
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,664,0
"""Number of Adult Stayers without Required Annual Assessment""",0,384,0
"""Total Adults""",1293,1110,183
"""1 or More Source of Income""",557,49,80
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,62,0
