, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",49,29,20,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",16,4,12,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",5,1,4,0,0
"""Staying or living with friends, permanent tenure""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",4,1,3,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",77,38,39,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",22,18,4,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",9,8,1,0,0
"""Staying or living with friends, temporary tenure""",8,8,0,0,0
"""Place not meant for human habitation""",26,22,4,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",27,14,11,2,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",92,70,20,2,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",1,1,0,0,0
"""Substance abuse treatment facility or detox center""",2,1,1,0,0
"""Hospital  or other residential non-psychiatric medical facility""",1,1,0,0,0
"""Jail, prison, or juvenile detention facility""",3,3,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",8,7,1,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Deceased""",2,2,0,0,0
"""Other""",4,2,2,0,0
"""Client Doesn't Know/Client Refused""",23,21,0,0,2
"""Data Not Collected (no exit interview completed)""",14,14,0,0,0
"""Subtotal""",44,40,2,0,2
"""Total""",221,155,62,2,2
"""Total persons exiting to positive housing destinations""",33,24,9,0,0
"""Total persons whose destinations excluded them from the calculation""",2,2,0,0,0
"""Percentage""",0.15,0.16,0.15,0.0,0.0
