, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",10,6,16,0.63,2,4,6,0.33,0,0,0,0.0
"""Supplemental Security Income (SSI)""",21,0,21,1.0,2,0,2,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",14,0,14,1.0,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",2,0,2,1.0,3,0,3,1.0,0,0,0,0.0
"""Other source""",5,0,5,1.0,0,2,2,0.0,0,0,0,0.0
"""No Sources""",13,24,37,0.35,2,5,7,0.29,0,0,0,0.0
"""Unduplicated Total Adults""",57,30,87,,9,11,20,,0,0,0,
