"""Total Number of Persons Served""",1134
"""Number of Adults (age 18 or over)""",868
"""Number of Children (under age 18)""",256
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",224
"""Number of Adult Leavers""",189
"""Number of Adult and Head of Household Leavers""",189
"""Number of Stayers""",910
"""Number of Adult Stayers""",679
"""Number of Veterans""",55
"""Number of Chronically Homeless Persons""",170
"""Number of Youth Under Age 25""",62
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",720
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",295
