, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",136,117,19,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",204,185,19,0,0
"""Safe Haven""",4,2,2,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",347,307,40,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",4,4,0,0,0
"""Substance abuse treatment facility or detox center""",3,3,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",10,10,0,0,0
"""Jail, prison or juvenile detention facility""",21,21,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",39,39,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,6,0,0,0
"""Owned by client, with ongoing housing subsidy""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",189,141,45,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,5,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",89,65,23,0,1
"""Staying or living in a friend''s room, apartment or house""",77,61,16,0,0
"""Staying or living in a family member''s room, apartment or house""",91,63,28,0,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",17,13,4,0,0
"""Subtotal""",482,360,118,0,4
"""Total""",868,706,158,0,4
