, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",59,38,21,0,0
"""8 to 14 days""",3,3,0,0,0
"""15 to 21 days""",6,3,3,0,0
"""22 to 30 days""",4,2,2,0,0
"""31 to 60 days""",23,15,8,0,0
"""61 to 180 days""",52,28,24,0,0
"""181 to 365 days""",24,19,5,0,0
"""366-730 days (1-2 years)""",32,29,3,0,0
"""731 days or more""",66,55,11,0,0
"""Total (persons moved into housing)""",269,192,77,0,0
"""Not yet moved into housing""",33,21,12,0,0
"""Data not collected""",10,10,0,0,0
"""Total persons""",312,223,89,0,0
