, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",11,37,48,0.23,2,14,16,0.13,0,0,0,0.0
"""Supplemental Security Income (SSI)""",14,2,16,0.88,0,1,1,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",15,0,15,1.0,1,3,4,0.25,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,2,2,0.0,2,5,7,0.29,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",3,3,6,0.5,0,5,5,0.0,0,0,0,0.0
"""Other source""",4,2,6,0.67,0,0,0,0.0,0,0,0,0.0
"""No Sources""",11,34,45,0.24,1,3,4,0.25,0,0,0,0.0
"""Unduplicated Total Adults""",50,76,126,,4,20,24,,0,0,0,
