, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",42,27,15,0,0
"""8 to 14 days""",5,3,2,0,0
"""15 to 21 days""",14,2,12,0,0
"""22 to 30 days""",4,2,2,0,0
"""31 to 60 days""",19,9,10,0,0
"""61 to 180 days""",40,14,26,0,0
"""181 to 365 days""",34,15,19,0,0
"""366-730 days (1-2 years)""",22,22,0,0,0
"""731 days or more""",44,35,9,0,0
"""Total (persons moved into housing)""",224,129,95,0,0
"""Not yet moved into housing""",18,11,7,0,0
"""Data not collected""",5,5,0,0,0
"""Total persons""",247,145,102,0,0
