, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",215,12,58
"""$1 -  $150""",1,0,0
"""$151 - $250""",8,0,4
"""$251 - $500""",24,1,10
"""$501 - $1000""",109,20,34
"""$1001 - $1500""",70,17,19
"""$1501 - $2000""",65,7,15
"""$2001+""",60,4,25
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",157,3,104
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,307,0
"""Number of Adult Stayers without Required Annual Assessment""",0,69,0
"""Total Adults""",709,440,269
