, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",107,3,30
"""Unemployment Insurance""",1,1,0
"""Supplemental Security Income (SSI)""",49,7,15
"""Social Security Disability Insurance (SSDI)""",58,4,14
"""VA Service - Connected Disability Compensation""",2,0,1
"""VA Non-Service Connected Disability Pension""",2,0,2
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",4,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",5,0,3
"""Pension or retirement income from a former job""",2,0,2
"""Child Support""",11,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",4,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,14,0
