, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",12,12,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",55,21,34,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",4,0,4,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",20,20,0,0,0
"""Staying or living with family, permanent tenure""",22,5,17,0,0
"""Staying or living with friends, permanent tenure""",5,1,4,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",118,59,59,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",1,1,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",2,2,0,0,0
"""Staying or living with friends, temporary tenure""",1,1,0,0,0
"""Place not meant for human habitation""",14,14,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",6,0,6,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",24,18,6,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",3,0,3,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",4,1,3,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",1,1,0,0,0
"""Client Doesn't Know/Client Refused""",3,3,0,0,0
"""Data Not Collected (no exit interview completed)""",31,27,4,0,0
"""Subtotal""",35,31,4,0,0
"""Total""",181,109,72,0,0
"""Total persons exiting to positive housing destinations""",80,32,48,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.44,0.29,0.67,0.0,0.0
