, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",24,19,5,0,0
"""8 to 14 days""",4,4,0,0,0
"""15 to 21 days""",1,1,0,0,0
"""22 to 30 days""",7,5,2,0,0
"""31 to 60 days""",20,9,11,0,0
"""61 to 180 days""",55,27,28,0,0
"""181 to 365 days""",18,17,1,0,0
"""366-730 days (1-2 years)""",16,16,0,0,0
"""731 days or more""",14,14,0,0,0
"""Total (persons moved into housing)""",159,112,47,0,0
"""Not yet moved into housing""",37,18,19,0,0
"""Data not collected""",92,60,32,0,0
"""Total persons""",288,190,98,0,0
