, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",89,72,17,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Place not meant for human habitation""",54,43,11,0,0
"""Safe Haven""",1,1,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",144,116,28,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",3,3,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",9,9,0,0,0
"""Jail, prison or juvenile detention facility""",9,9,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",23,23,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",21,16,5,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",124,102,22,0,0
"""Rental by client, with VASH housing subsidy""",2,1,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",2,2,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",8,8,0,0,0
"""Staying or living in a friend''s room, apartment or house""",41,27,14,0,0
"""Staying or living in a family member''s room, apartment or house""",42,31,11,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",11,10,0,0,1
"""Subtotal""",253,199,53,0,1
"""Total""",420,338,81,0,1
