, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",2,14,16,0.13,0,10,10,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",10,3,13,0.77,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",11,1,12,0.92,0,1,1,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",3,0,3,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Other source""",2,1,3,0.67,0,1,1,0.0,0,0,0,0.0
"""No Sources""",15,25,40,0.38,0,20,20,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",40,44,84,,0,33,33,,0,0,0,
