"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",99,2,29
"""Adults with Only Other Income""",110,9,34
"""Adults with Both Earned and Other Income""",8,1,1
"""Adults with No Income""",189,2,74
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",12,0,6
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,179,0
"""Number of Adult Stayers without Required Annual Assessment""",0,82,0
"""Total Adults""",420,275,145
"""1 or More Source of Income""",237,12,69
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,14,0
