veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,17,all_households,2021-02-01,2021-02-28,Q25b,without_children,17
Chronically Homeless Veteran,17,all_households,2021-02-01,2021-02-28,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,17,all_households,2021-02-01,2021-02-28,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,31,all_households,2021-02-01,2021-02-28,Q25b,without_children,29
Non-Chronically Homeless Veteran,31,all_households,2021-02-01,2021-02-28,Q25b,with_children_and_adults,2
Non-Chronically Homeless Veteran,31,all_households,2021-02-01,2021-02-28,Q25b,unknown_household_type,0
Not a Veteran,708,all_households,2021-02-01,2021-02-28,Q25b,without_children,614
Not a Veteran,708,all_households,2021-02-01,2021-02-28,Q25b,with_children_and_adults,91
Not a Veteran,708,all_households,2021-02-01,2021-02-28,Q25b,unknown_household_type,3
Client Doesn't Know/Client Refused,4,all_households,2021-02-01,2021-02-28,Q25b,without_children,4
Client Doesn't Know/Client Refused,4,all_households,2021-02-01,2021-02-28,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_households,2021-02-01,2021-02-28,Q25b,unknown_household_type,0
Data Not Collected,10,all_households,2021-02-01,2021-02-28,Q25b,without_children,10
Data Not Collected,10,all_households,2021-02-01,2021-02-28,Q25b,with_children_and_adults,0
Data Not Collected,10,all_households,2021-02-01,2021-02-28,Q25b,unknown_household_type,0
