conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,44,4,1,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,39
Mental Health Disorder,44,4,1,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
Mental Health Disorder,44,4,1,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
Alcohol Use Disorder,10,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,10
Alcohol Use Disorder,10,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
Alcohol Use Disorder,10,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
Drug Use Disorder,10,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,10
Drug Use Disorder,10,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
Drug Use Disorder,10,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,7,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,7
Both Alcohol and Drug Use Disorders,7,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,7,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
Chronic Health Condition,27,2,1,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,24
Chronic Health Condition,27,2,1,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
Chronic Health Condition,27,2,1,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
HIV/AIDS,1,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,1
HIV/AIDS,1,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
HIV/AIDS,1,0,0,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
Development Disability,12,1,1,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,10
Development Disability,12,1,1,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
Development Disability,12,1,1,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
Physical Disability,33,1,0,all_persons,2021-02-01,2021-02-28,Q13b1,without_children,32
Physical Disability,33,1,0,all_persons,2021-02-01,2021-02-28,Q13b1,with_only_children,0
Physical Disability,33,1,0,all_persons,2021-02-01,2021-02-28,Q13b1,unknown_household_type,0
