income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,13,12,25,0.52,0,3,3,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Supplemental Security Income (SSI),14,3,17,0.82,4,1,5,0.8,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Social Security Disability Insurance (SSDI),10,1,11,0.91,1,0,1,1.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Private Disability Insurance,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Retirement Income from Social Security,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Child Support,0,2,2,0.0,0,2,2,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Other source,3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
No Sources,24,36,60,0.4,1,4,5,0.2,0,0,0,0.0,adults,2021-02-01,2021-02-28,Q19b
Unduplicated Total Adults,60,52,112,NA,6,9,15,NA,0,0,0,NA,adults,2021-02-01,2021-02-28,Q19b
