persons_served,total,population,start_date,end_date,question,household_type,count
Adults,928,all_persons,2021-02-01,2021-02-28,Q7a,without_children,762
Adults,928,all_persons,2021-02-01,2021-02-28,Q7a,with_children_and_adults,162
Adults,928,all_persons,2021-02-01,2021-02-28,Q7a,with_only_children,0
Adults,928,all_persons,2021-02-01,2021-02-28,Q7a,unknown_household_type,4
Children,264,all_persons,2021-02-01,2021-02-28,Q7a,without_children,0
Children,264,all_persons,2021-02-01,2021-02-28,Q7a,with_children_and_adults,247
Children,264,all_persons,2021-02-01,2021-02-28,Q7a,with_only_children,17
Children,264,all_persons,2021-02-01,2021-02-28,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2021-02-01,2021-02-28,Q7a,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2021-02-01,2021-02-28,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2021-02-01,2021-02-28,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2021-02-01,2021-02-28,Q7a,unknown_household_type,1
Data Not Collected,9,all_persons,2021-02-01,2021-02-28,Q7a,without_children,0
Data Not Collected,9,all_persons,2021-02-01,2021-02-28,Q7a,with_children_and_adults,0
Data Not Collected,9,all_persons,2021-02-01,2021-02-28,Q7a,with_only_children,0
Data Not Collected,9,all_persons,2021-02-01,2021-02-28,Q7a,unknown_household_type,9
For PSH and RRH - the total persons served who moved into housing,128,all_persons,2021-02-01,2021-02-28,Q7a,without_children,86
For PSH and RRH - the total persons served who moved into housing,128,all_persons,2021-02-01,2021-02-28,Q7a,with_children_and_adults,42
For PSH and RRH - the total persons served who moved into housing,128,all_persons,2021-02-01,2021-02-28,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,128,all_persons,2021-02-01,2021-02-28,Q7a,unknown_household_type,0
